Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Generate a RAN report,Minor,Abdallah.Younes,"	16/09/2025 11:56:39 +03:00",CMEngine,192.168.19.18,OSS,Successful,"Function: [Configuration Management][Configuration Report]
Generate UMTS Cell Report, Total NEs:3643,Success:3643,Fail:0"
Get unieye mode list,Minor,Hosni.Olayan,"	16/09/2025 11:56:37 +03:00",CMEFaceService,192.168.19.229,Get unieye mode list,Successful,Get unieye mode list
Check the information of configuration report.,Minor,Hosni.Olayan,"	16/09/2025 11:56:33 +03:00",CMEFaceService,192.168.19.229,Check the information of configuration report.,Successful,Check the information of configuration report.
query current activities,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:56:14 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:56:13 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
Download Task Report,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEUniFSService,192.168.27.66,Task Management,Successful,Download Task Report
find opened planned area,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEFaceService,192.168.27.66,find opened planned area,Successful,find opened planned area
Query Task Detail,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEFaceService,192.168.27.66,Task Management,Successful,"[Task ID]: b0d50053-0004-44b3-bc50-b5fee6914509 
[Result]: ."
find opened planned area,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEFaceService,192.168.27.66,find opened planned area,Successful,find opened planned area
find opened planned area,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEFaceService,192.168.27.66,find opened planned area,Successful,find opened planned area
find opened planned area,Minor,mohammad.abujrai,"	16/09/2025 11:56:01 +03:00",CMEFaceService,192.168.27.66,find opened planned area,Successful,find opened planned area
find opened planned area,Minor,mohammad.abujrai,"	16/09/2025 11:56:00 +03:00",CMEFaceService,192.168.27.66,find opened planned area,Successful,find opened planned area
Delete the corresponding temporary table based on the table name (opId).,Minor,Hosni.Olayan,"	16/09/2025 11:55:56 +03:00",CMEFaceService,192.168.19.229,Delete the corresponding temporary table based on the table name (opId).,Successful,Delete the corresponding temporary table based on the table name (opId).
query report list,Minor,Hosni.Olayan,"	16/09/2025 11:55:56 +03:00",CMEFaceService,192.168.19.229,for querying report list,Successful,query report list
userflag,Minor,Hosni.Olayan,"	16/09/2025 11:55:56 +03:00",CMEFaceService,192.168.19.229,userflag,Successful,"	--"
